0,NaN
0.4,NaN
0.8,NaN
1.2,NaN
1.6,0
2,245.44
2.4,245.44
2.8,245.44
3.2,245.44
3.6,0
4,245.44
4.4,245.44
4.8,245.44
5.2,245.44
5.6,245.44
6,245.44
6.4,245.44
6.8,245.44
7.2,245.44
7.6,245.44
8,245.44
8.4,245.44
8.8,245.44
9.2,245.44
9.6,245.44
10,245.44
10.4,245.44
10.8,490.87
11.2,245.44
11.6,245.44
12,245.44
12.4,245.44
12.8,490.87
13.2,490.87
13.6,245.44
14,245.44
14.4,490.87
14.8,490.87
15.2,490.87
15.6,245.44
16,245.44
16.4,490.87
16.8,490.87
17.2,490.87
17.6,490.87
18,490.87
18.4,NaN
18.8,NaN
19.2,NaN
19.6,NaN
20,NaN
